Micron BGA codes

D9HVB    MT18VDDF12872LDY-335F1
RY115    MT25QL512ABA8E12-1SITES
RW120    MT25QL512ABA8ESF-0SIT
RY113    MT25QL512ABA8ESF-0SITES
RW148    MT25QL512ABA8ESFE01-2SIT
RW178    MT25QL512ABB1E12-0SIT
RW213    MT25QL512ABB1EW9-0SIT
RW247    MT25QL512ABB8E12-0AAT
RW300    MT25QL512ABB8E12-0AUT
RW181    MT25QL512ABB8E12-0SIT
RW184    MT25QL512ABB8E12-1SIT
RW216    MT25QL512ABB8ESF-0AAT
RY145    MT25QL512ABB8ESF-0AATES
RW187    MT25QL512ABB8ESF-0SIT
RW263    MT25QL512ABB8ESFE01-2SIT
RW157    MT25QU01GBBA8E12-0SIT
RY131    MT25QU01GBBA8E12-0SITES
RW158    MT25QU01GBBA8E12-1SIT
RY132    MT25QU01GBBA8E12-1SITES
RW257    MT25QU01GBBB1EW9-0SIT
RW249    MT25QU01GBBB8E12-0AAT
RW320    MT25QU01GBBB8E12-0AUT
RW8M1    MT25QU01GBBB8E12-0M01IT
RW188    MT25QU01GBBB8E12-0SIT
RW194    MT25QU01GBBB8E12-1SIT
RW244    MT25QU01GBBB8ESF-0AAT
RW192    MT25QU01GBBB8ESF-0SIT
RW196    MT25QU02GCBA8E12-0SIT
RW134    MT25QU02GCBA8E12-1SIT
RY133    MT25QU02GCBA8E12-1SITES
RW294    MT25QU02GCBB8E12-0AAT
RW251    MT25QU02GCBB8E12-0SIT
RW180    MT25QU02GCBB8ESF-0SIT
RW149    MT25QU128ABA1E12-1SIT
RW202    MT25QU128ABA1E14-1SIT
RW138    MT25QU128ABA1ESE-0SIT
RW151    MT25QU128ABA1ESE-MSIT
RW150    MT25QU128ABA1ESF-0SIT
RWM18    MT25QU128ABA1EW7-0M01IT
RWM28    MT25QU128ABA1EW7-0M02IT
RW139    MT25QU128ABA1EW7-0SIT
RW140    MT25QU128ABA1EW7-MSIT
RW141    MT25QU128ABA1EW9-0SIT
RW229    MT25QU128ABA8E12-0AAT
RY157    MT25QU128ABA8E12-0AATES
RW205    MT25QU128ABA8E12-0SIT
RW208    MT25QU128ABA8E12-1SIT
RW212    MT25QU128ABA8E14-0SIT
RW209    MT25QU128ABA8E14-1SIT
RW289    MT25QU128ABA8E54-0SIT
RW242    MT25QU128ABA8ESF-0AAT
RW204    MT25QU128ABA8ESF-0SIT
RW331    MT25QU128ABB1ESE-0AUT
RW259    MT25QU128ABB1ESE-0SIT
RW258    MT25QU128ABB1ESE-CSIT
RY174    MT25QU128ABB1ESE-CSITES
RW313    MT25QU128ABB1EW7-CAUT
RY211    MT25QU128ABB1EW7-CAUTES
RW316    MT25QU128ABB1EW7-CSIT
RY214    MT25QU128ABB1EW7-CSITES
RW317    MT25QU128ABB8E12-0AUT
RY215    MT25QU128ABB8E12-0AUTES
RW253    MT25QU128ABB8E12-1SIT
RY173    MT25QU128ABB8E12-1SITES
RW254    MT25QU128ABB8E12-CSIT
RW312    MT25QU128ABB8ESF-0AUT
RY210    MT25QU128ABB8ESF-0AUTES
RW252    MT25QU128ABB8ESF-0SIT
RY172    MT25QU128ABB8ESF-0SITES
RW255    MT25QU128ABB8ESF-CSIT
RW166    MT25QU256ABA1ESF-0SIT
RW169    MT25QU256ABA1EW7-0SIT
RW167    MT25QU256ABA1EW9-0SIT
RW230    MT25QU256ABA8E12-0AAT
RY158    MT25QU256ABA8E12-0AATES
RW327    MT25QU256ABA8E12-0AUT
RW168    MT25QU256ABA8E12-1SIT
RW171    MT25QU256ABA8E14-1SIT
RW290    MT25QU256ABA8E55-0SIT
RW243    MT25QU256ABA8ESF-0AAT
RW170    MT25QU256ABA8ESF-0SIT
RW173    MT25QU256ABA8ESF-MSIT
RW145    MT25QU512ABA1E12-0SIT
RY117    MT25QU512ABA1E12-0SITES
RW142    MT25QU512ABA1ESF-0SIT
RY118    MT25QU512ABA1ESF-0SITES
RW144    MT25QU512ABA1ESF-MSIT
RY122    MT25QU512ABA1ESF-MSITES
RW146    MT25QU512ABA8E12-0SIT
RY119    MT25QU512ABA8E12-0SITES
RW147    MT25QU512ABA8E12-1SIT
RY120    MT25QU512ABA8E12-1SITES
RW143    MT25QU512ABA8ESF-0SIT
RY121    MT25QU512ABA8ESF-0SITES
RW190    MT25QU512ABB1E12-0SIT
RW214    MT25QU512ABB1EW9-0SIT
RW231    MT25QU512ABB8E12-0AAT
RY159    MT25QU512ABB8E12-0AATES
RW299    MT25QU512ABB8E12-0AUT
RW193    MT25QU512ABB8E12-0SIT
RW195    MT25QU512ABB8E12-1SIT
RW250    MT25QU512ABB8E56-0SIT
RW241    MT25QU512ABB8ESF-0AAT
RW191    MT25QU512ABB8ESF-0SIT
RW238    MT25TL01GBBB8E12-0AAT
RW239    MT25TL01GBBB8ESF-0AAT
RW237    MT25TL01GHBB8E12-0AAT
RY165    MT25TL01GHBB8E12-0AATES
RW228    MT25TL01GHBB8E12-0SIT
RY156    MT25TL01GHBB8E12-0SITES
RW240    MT25TL01GHBB8ESF-0AAT
RW227    MT25TL01GHBB8ESF-0SIT
RY155    MT25TL01GHBB8ESF-0SITES
RW174    MT25TL256BAA1ESF-0AAT
RW215    MT25TL256BBA8ESF-0AAT
RY144    MT25TL256BBA8ESF-0AATES
RW175    MT25TL256HAA1ESF-0AAT
RW232    MT25TL256HBA8ESF-0AAT
RY160    MT25TL256HBA8ESF-0AATES
RW220    MT25TL256HBA8ESF-0SIT
RY147    MT25TL256HBA8ESF-0SITES
RW177    MT25TL512BAA1ESF-0AAT
RW234    MT25TL512BBA8E12-0AAT
RY162    MT25TL512BBA8E12-0AATES
RW236    MT25TL512BBA8ESF-0AAT
RY164    MT25TL512BBA8ESF-0AATES
RW176    MT25TL512HAA1ESF-0AAT
RW233    MT25TL512HBA8E12-0AAT
RY161    MT25TL512HBA8E12-0AATES
RW224    MT25TL512HBA8E12-0SIT
RY152    MT25TL512HBA8E12-0SITES
RW235    MT25TL512HBA8ESF-0AAT
RY163    MT25TL512HBA8ESF-0AATES
RW223    MT25TL512HBA8ESF-0SIT
RY151    MT25TL512HBA8ESF-0SITES
RW226    MT25TU01GHBB8E12-0SIT
RY154    MT25TU01GHBB8E12-0SITES
RW225    MT25TU01GHBB8ESF-0SIT
RY153    MT25TU01GHBB8ESF-0SITES
RW262    MT25TU256HBA8E12-0SIT
RY182    MT25TU256HBA8E12-0SITES
RW219    MT25TU256HBA8ESF-0SIT
RY146    MT25TU256HBA8ESF-0SITES
RW222    MT25TU512HBA8E12-0SIT
RY150    MT25TU512HBA8E12-0SITES
RW221    MT25TU512HBA8ESF-0SIT
RY149    MT25TU512HBA8ESF-0SITES
RW113    MT25WU256AAA1EFA-0SWT
QW112    MT27C2G24MAAMAHANE-6 WT
JWA01    MT27C4G12MAAKVANE-6 WT
JWA18    MT27C4G24MAAKAHANE-6 WT
QW111    MT27C8G12MAALYAGK-6 WT
JWA41    MT27C8G24MAALAHANE-6 WT
FW780    MT28C128432W18AFT-F705P70 TWT
FX780    MT28C128432W18AFT-F705P70 TWT ES
FW791    MT28C128432W18BFT-F705P706 TWT
FX791    MT28C128432W18BFT-F705P706 TWT ES
FX160    MT28C128432W18FT-606 BET ES
FX161    MT28C128432W18FT-606 TET ES
FX162    MT28C128432W18FT-705 BET ES
FX163    MT28C128432W18FT-705 TET ES
FW786    MT28C128432W18TFT-F705P706 TWT
FX786    MT28C128432W18TFT-F705P706 TWT ES
FX672    MT28C128432W30AFT-705 TWT ES
FW784    MT28C128464W18AFT-F606P70 BWT
FX784    MT28C128464W18AFT-F606P70 BWT ES
FW777    MT28C128464W18AFT-F606P85 BWT
FX777    MT28C128464W18AFT-F606P85 BWT ES
FX164    MT28C128464W18FT-606 BET ES
FX165    MT28C128464W18FT-606 TET ES
FX166    MT28C128464W18FT-705 BET ES
FX167    MT28C128464W18FT-705 TET ES
FW881    MT28C128532W18DBW-F70P70 KTBWT
FX144    MT28C128532W18DFW-606 BBET ES
FX642    MT28C128532W18DFW-606 BBWT ES
FX145    MT28C128532W18DFW-606 BTET ES
FX625    MT28C128532W18DFW-606 BTWT ES
FX146    MT28C128532W18DFW-606 TBET ES
FX638    MT28C128532W18DFW-606 TBWT ES
FX147    MT28C128532W18DFW-606 TTET ES
FX148    MT28C128532W18DFW-705 BBET ES
FX639    MT28C128532W18DFW-705 BBWT ES
FX149    MT28C128532W18DFW-705 BTET ES
FX632    MT28C128532W18DFW-705 BTWT ES
FX150    MT28C128532W18DFW-705 TBET ES
FX658    MT28C128532W18DFW-705 TBWT ES
FX151    MT28C128532W18DFW-705 TTET ES
FX626    MT28C128532W18DFW-705 TTWT ES
FQ626    MT28C128532W18DFW-705 TTWT QS
FW802    MT28C128532W18DFW-F705P70 KBBWT
FX802    MT28C128532W18DFW-F705P70 KBBWT ES
FW774    MT28C128532W18DFW-F705P70 TTWT
FX774    MT28C128532W18DFW-F705P70 TTWT ES
FQ774    MT28C128532W18DFW-F705P70 TTWT QS
FW719    MT28C128532W18DFW-F705P85 BBWT
FX719    MT28C128532W18DFW-F705P85 BBWT ES
FW718    MT28C128532W18DFW-F705P85 BTWT
FX718    MT28C128532W18DFW-F705P85 BTWT ES
FW716    MT28C128532W18DFW-F705P85 TBWT
FX716    MT28C128532W18DFW-F705P85 TBWT ES
FW717    MT28C128532W18DFW-F705P85 TTWT
FX717    MT28C128532W18DFW-F705P85 TTWT ES
FQ717    MT28C128532W18DFW-F705P85 TTWT QS
FW834    MT28C128532W18DFW-F70P70 A0TTWT
FW878    MT28C128532W18DFW-F70P70 BBWT
FW880    MT28C128532W18DFW-F70P70 KTBWT
FW804    MT28C128532W18DFW-F70P70 TTWT
FX872    MT28C128532W18DFW-F70P75 A1TTWT ES
FW928    MT28C128532W18DFW-F70P85 A0TTWT
FW806    MT28C128532W18DFW-F70P85 TBWT
FX806    MT28C128532W18DFW-F70P85 TBWT ES
FW853    MT28C128532W18DFW-F70P85 TTWT
FX643    MT28C128532W18EFW-705 TTWT ES
FX656    MT28C128532W18EFW-705 VTTWT ES
FW792    MT28C128532W18EFW-F705P706 TTWT
FX792    MT28C128532W18EFW-F705P706 TTWT ES
FW715    MT28C128532W18EFW-F705P85 VTTWT
FX715    MT28C128532W18EFW-F705P85 VTTWT ES
FW753    MT28C128532W18EFW-F705P856 VTTWT
FX753    MT28C128532W18EFW-F705P856 VTTWT ES
FX128    MT28C128532W18SFW-606 BBET ES
FX129    MT28C128532W18SFW-606 BTET ES
FX130    MT28C128532W18SFW-606 TBET ES
FX131    MT28C128532W18SFW-606 TTET ES
FX132    MT28C128532W18SFW-705 BBET ES
FX133    MT28C128532W18SFW-705 BTET ES
FX628    MT28C128532W18SFW-705 BTWT ES
FX134    MT28C128532W18SFW-705 TBET ES
FX135    MT28C128532W18SFW-705 TTET ES
FW873    MT28C128532W30DBW-F70P70 TTWT
FX873    MT28C128532W30DBW-F70P70 TTWT ES
FX649    MT28C128532W30DFW-606 BBWT ES
FX682    MT28C128532W30DFW-705 BBWT ES
FX651    MT28C128532W30DFW-705 TBWT ES
FX677    MT28C128532W30DFW-705 TTWT ES
FX779    MT28C128532W30DFW-F606P85 BBWT ES
FW781    MT28C128532W30DFW-F606P85 BTWT
FX781    MT28C128532W30DFW-F606P85 BTWT ES
FW876    MT28C128532W30DFW-F60P85 TBWT
FX876    MT28C128532W30DFW-F60P85 TBWT ES
FW877    MT28C128532W30DFW-F60P85 TTWT
FX877    MT28C128532W30DFW-F60P85 TTWT ES
FW788    MT28C128532W30DFW-F705P70 TTWT
FX788    MT28C128532W30DFW-F705P70 TTWT ES
FW721    MT28C128532W30DFW-F705P85 BBWT
FX721    MT28C128532W30DFW-F705P85 BBWT ES
FW741    MT28C128532W30DFW-F705P85 BTWT
FX741    MT28C128532W30DFW-F705P85 BTWT ES
FW740    MT28C128532W30DFW-F705P85 TBWT
FX740    MT28C128532W30DFW-F705P85 TBWT ES
FW742    MT28C128532W30DFW-F705P85 TTWT
FX742    MT28C128532W30DFW-F705P85 TTWT ES
FW921    MT28C128532W30DFW-F70P70 BBWT
FW883    MT28C128532W30DFW-F70P70 KTBWT
FW882    MT28C128532W30DFW-F70P70 TBWT
FW807    MT28C128532W30DFW-F70P70 TTWT
FY882    MT28C128532W30DFW-F70P70 TTWT DC
FX807    MT28C128532W30DFW-F70P70 TTWT ES
FW865    MT28C128532W30DFW-F70P85 BTWT
FW835    MT28C128532W30DFW-F70P85 TBWT
FW837    MT28C128532W30DFW-F70P85 TTWT
FX837    MT28C128532W30DFW-F70P85 TTWT ES
FW838    MT28C128532W30EFW-F705P856 TTWT
FX838    MT28C128532W30EFW-F705P856 TTWT ES
FW798    MT28C128532W30SFW-F705P85 TBWT
FX798    MT28C128532W30SFW-F705P85 TBWT ES
FX152    MT28C128564W18DFW-606 BBET ES
FX153    MT28C128564W18DFW-606 BTET ES
FX627    MT28C128564W18DFW-606 BTWT ES
FX154    MT28C128564W18DFW-606 TBET ES
FX661    MT28C128564W18DFW-606 TBWT ES
FX155    MT28C128564W18DFW-606 TTET ES
FX156    MT28C128564W18DFW-705 BBET ES
FX640    MT28C128564W18DFW-705 BBWT ES
FX157    MT28C128564W18DFW-705 BTET ES
FX637    MT28C128564W18DFW-705 BTWT ES
FX158    MT28C128564W18DFW-705 TBET ES
FX659    MT28C128564W18DFW-705 TBWT ES
FX159    MT28C128564W18DFW-705 TTET ES
FX666    MT28C128564W18DFW-705 TTWT ES
FW714    MT28C128564W18DFW-F606P85 BTWT
FX714    MT28C128564W18DFW-F606P85 BTWT ES
FW803    MT28C128564W18DFW-F705P70 BBWT
FX803    MT28C128564W18DFW-F705P70 BBWT ES
FW793    MT28C128564W18DFW-F705P70 TTWT
FX793    MT28C128564W18DFW-F705P70 TTWT ES
FW712    MT28C128564W18DFW-F705P85 BTWT
FX712    MT28C128564W18DFW-F705P85 BTWT ES
FW711    MT28C128564W18DFW-F705P85 TBWT
FX711    MT28C128564W18DFW-F705P85 TBWT ES
FW710    MT28C128564W18DFW-F705P85 TTWT
FX710    MT28C128564W18DFW-F705P85 TTWT ES
FW856    MT28C128564W18DFW-F70P85 BTWT
FX856    MT28C128564W18DFW-F70P85 BTWT ES
FW854    MT28C128564W18DFW-F70P85 KBTWT
FX676    MT28C128564W18EFW-705 TTWT ES
FX675    MT28C128564W18EFW-706 TTWT ES
FW720    MT28C128564W18EFW-F705P85 TTWT
FX720    MT28C128564W18EFW-F705P85 TTWT ES
FW754    MT28C128564W18EFW-F705P856 TTWT
FX754    MT28C128564W18EFW-F705P856 TTWT ES
FX136    MT28C128564W18SFW-606 BBET ES
FX137    MT28C128564W18SFW-606 BTET ES
FX138    MT28C128564W18SFW-606 TBET ES
FX139    MT28C128564W18SFW-606 TTET ES
FX140    MT28C128564W18SFW-705 BBET ES
FX141    MT28C128564W18SFW-705 BTET ES
FX142    MT28C128564W18SFW-705 TBET ES
FX679    MT28C128564W18SFW-705 TBWT ES
FX143    MT28C128564W18SFW-705 TTET ES
FX667    MT28C128564W18TFW-705 VTTWT ES
FX650    MT28C128564W30DFW-606 BBWT ES
FX652    MT28C128564W30DFW-705 TBWT ES
FX683    MT28C128564W30DFW-705 TTWT ES
FW744    MT28C128564W30DFW-F705P85 BTWT
FX744    MT28C128564W30DFW-F705P85 BTWT ES
FW743    MT28C128564W30DFW-F705P85 TBWT
FX743    MT28C128564W30DFW-F705P85 TBWT ES
FW745    MT28C128564W30DFW-F705P85 TTWT
FX745    MT28C128564W30DFW-F705P85 TTWT ES
FW925    MT28C128564W30DFW-F70P70 A4TTWT
FW836    MT28C128564W30DFW-F70P70 TTWT
FW874    MT28C128564W30DFW-F70P85 BBWT
FW808    MT28C128564W30DFW-F70P85 TTWT
FX808    MT28C128564W30DFW-F70P85 TTWT ES
FW809    MT28C128564W30EFW-F70P856 TTWT
FX809    MT28C128564W30EFW-F70P856 TTWT ES
FX680    MT28C128564W30SFW-705 TBWT ES
FW772    MT28C128564W30SFW-F705P85 BTWT
FX772    MT28C128564W30SFW-F705P85 BTWT ES
FW782    MT28C128564W30SFW-F705P85 TBWT
FX782    MT28C128564W30SFW-F705P85 TBWT ES
FX184    MT28C256532W18DFT-606 BBET ES
FX185    MT28C256532W18DFT-606 BTET ES
FX633    MT28C256532W18DFT-606 BTWT ES
FX186    MT28C256532W18DFT-606 TBET ES
FX187    MT28C256532W18DFT-606 TTET ES
FX188    MT28C256532W18DFT-705 BBET ES
FX189    MT28C256532W18DFT-705 BTET ES
FX670    MT28C256532W18DFT-705 BTWT ES
FX190    MT28C256532W18DFT-705 TBET ES
FX191    MT28C256532W18DFT-705 TTET ES
FW761    MT28C256532W18DFT-F705P85 BTWT
FX761    MT28C256532W18DFT-F705P85 BTWT ES
FW762    MT28C256532W18DFT-F705P85 TBWT
FX762    MT28C256532W18DFT-F705P85 TBWT ES
FX168    MT28C256532W18SFT-606 BBET ES
FX169    MT28C256532W18SFT-606 BTET ES
FX170    MT28C256532W18SFT-606 TBET ES
FX171    MT28C256532W18SFT-606 TTET ES
FX172    MT28C256532W18SFT-705 BBET ES
FX173    MT28C256532W18SFT-705 BTET ES
FX636    MT28C256532W18SFT-705 BTWT ES
FX174    MT28C256532W18SFT-705 TBET ES
FX175    MT28C256532W18SFT-705 TTET ES
FX641    MT28C256532W18SFT-705 TTWT ES
FW746    MT28C256532W18SFT-F705P85 BTWT
FX746    MT28C256532W18SFT-F705P85 BTWT ES
FW747    MT28C256532W18SFT-F705P85 TBWT
FX747    MT28C256532W18SFT-F705P85 TBWT ES
FW748    MT28C256532W18SFT-F705P85 TTWT
FX748    MT28C256532W18SFT-F705P85 TTWT ES
FW824    MT28C256532W18SFT-F70P85 TBWT
FX824    MT28C256532W18SFT-F70P85 TBWT ES
FX681    MT28C256532W18TFT-705 BTWT ES
FW756    MT28C256532W18TFT-F705P856 BTWT
FX756    MT28C256532W18TFT-F705P856 BTWT ES
FW783    MT28C256532W18TFT-F705P856 TBWT
FX783    MT28C256532W18TFT-F705P856 TBWT ES
FX192    MT28C256564W18DFT-606 BBET ES
FX193    MT28C256564W18DFT-606 BTET ES
FX194    MT28C256564W18DFT-606 TBET ES
FX195    MT28C256564W18DFT-606 TTET ES
FX196    MT28C256564W18DFT-705 BBET ES
FX197    MT28C256564W18DFT-705 BTET ES
FX198    MT28C256564W18DFT-705 TBET ES
FX663    MT28C256564W18DFT-705 TBWT ES
FX199    MT28C256564W18DFT-705 TTET ES
FW787    MT28C256564W18DFT-F705P70 TBWT
FX787    MT28C256564W18DFT-F705P70 TBWT ES
FW764    MT28C256564W18DFT-F705P85 BTWT
FX764    MT28C256564W18DFT-F705P85 BTWT ES
FW763    MT28C256564W18DFT-F705P85 TBWT
FX763    MT28C256564W18DFT-F705P85 TBWT ES
FW789    MT28C256564W18DFT-F705P85 TTWT
FX789    MT28C256564W18DFT-F705P85 TTWT ES
FW867    MT28C256564W18DFT-F70P70 TTWT
FX867    MT28C256564W18DFT-F70P70 TTWT ES
FX664    MT28C256564W18DFW-606 TBWT ES
FX176    MT28C256564W18SFT-606 BBET ES
FX177    MT28C256564W18SFT-606 BTET ES
FX178    MT28C256564W18SFT-606 TBET ES
FX179    MT28C256564W18SFT-606 TTET ES
FX180    MT28C256564W18SFT-705 BBET ES
FX181    MT28C256564W18SFT-705 BTET ES
FX654    MT28C256564W18SFT-705 BTWT ES
FX182    MT28C256564W18SFT-705 TBET ES
FX183    MT28C256564W18SFT-705 TTET ES
FW749    MT28C256564W18SFT-F705P85 BTWT
FX749    MT28C256564W18SFT-F705P85 BTWT ES
FW755    MT28C256564W18SFT-F705P85 TBWT
FX755    MT28C256564W18SFT-F705P85 TBWT ES
FW773    MT28C256564W18SFT-F705P85 TTWT
FX773    MT28C256564W18SFT-F705P85 TTWT ES
FX917    MT28C256564W18SFT-F70P85 TBWT ES
FX644    MT28C256564W18TFT-607 BTWT ES
FX647    MT28C256564W18TFT-705 BTWT ES
FX662    MT28C256564W18TFT-705 TBWT ES
FX648    MT28C256564W18TFT-705 TTWT ES
FX669    MT28C256564W18TFT-705 VTTWT ES
FQ944    MT28C256564W18TFT-F606P706 TTWT QS
FW790    MT28C256564W18TFT-F705P706 TBWT
FX790    MT28C256564W18TFT-F705P706 TBWT ES
FW768    MT28C256564W18TFT-F705P706 TTWT
FX768    MT28C256564W18TFT-F705P706 TTWT ES
FQ768    MT28C256564W18TFT-F705P706 TTWT QS
FW757    MT28C256564W18TFT-F705P856 BTWT
FX757    MT28C256564W18TFT-F705P856 BTWT ES
FW758    MT28C256564W18TFT-F705P856 TBWT
FX758    MT28C256564W18TFT-F705P856 TBWT ES
FW759    MT28C256564W18TFT-F705P856 TTWT
FX759    MT28C256564W18TFT-F705P856 TTWT ES
FW760    MT28C256564W18TFT-F705P856 VTTWT
FX760    MT28C256564W18TFT-F705P856 VTTWT ES
FQ769    MT28C256564W18TFT-F706P706 TTWT QS
FW823    MT28C256564W18TFT-F70P706 TTWT
FX823    MT28C256564W18TFT-F70P706 TTWT ES
FX665    MT28C256564W30DFW-705 TBWT ES
FW443    MT28C3212P2FL-10 BET
FW442    MT28C3212P2FL-10 TET
FX442    MT28C3212P2FL-10 TET ES
FQ442    MT28C3212P2FL-10 TET QS
FW444    MT28C3212P2FL-11 BET
FW433    MT28C3212P2FL-11 TET
FX433    MT28C3212P2FL-11 TET ES
FW436    MT28C3212P2FL-11 TWT
FX436    MT28C3212P2FL-11 TWT ES
FW438    MT28C3212P2FL-95 TWT
FX438    MT28C3212P2FL-95 TWT ES
FQ438    MT28C3212P2FL-95 TWT QS
FW445    MT28C3212P2NFL-11 TET
FX445    MT28C3212P2NFL-11 TET ES
FQ445    MT28C3212P2NFL-11 TET QS
FW451    MT28C3212Y2FL15-11 TET
FQ451    MT28C3212Y2FL15-11 TET QS
FW702    MT28C3214P18FL-70 TET
FX429    MT28C3214P18FL-85 TET ES
FX447    MT28C3214P20FL-80 TET ES
FX701    MT28C3214P20FL-85 TET ES
FQ701    MT28C3214P20FL-85 TET QS
FY432    MT28C3214P2FL-0 B MS
FW428    MT28C3214P2FL-10 BET
FX428    MT28C3214P2FL-10 BET ES
FQ428    MT28C3214P2FL-10 BET QS
FW424    MT28C3214P2FL-10 TET
FX424    MT28C3214P2FL-10 TET ES
FQ424    MT28C3214P2FL-10 TET QS
FW437    MT28C3214P2FL-11 BET
FX437    MT28C3214P2FL-11 BET ES
FQ437    MT28C3214P2FL-11 BET QS
FW435    MT28C3214P2FL-11 BWT
FX435    MT28C3214P2FL-11 BWT ES
FQ435    MT28C3214P2FL-11 BWT QS
FW431    MT28C3214P2FL-11 TET
FW430    MT28C3214P2FL-11 TET ER
FX430    MT28C3214P2FL-11 TET ER ES
FQ430    MT28C3214P2FL-11 TET ER QS
FX431    MT28C3214P2FL-11 TET ES
FQ431    MT28C3214P2FL-11 TET QS
FW434    MT28C3214P2FL-11 TWT
FQ434    MT28C3214P2FL-11 TWT QS
FQ427    MT28C3214P2FL-11 TWT S QS
FW420    MT28C3214P2FL-95 BET
FX420    MT28C3214P2FL-95 BET ES
FQ420    MT28C3214P2FL-95 BET QS
FW423    MT28C3214P2FL-95 BWT
FX423    MT28C3214P2FL-95 BWT ES
FQ423    MT28C3214P2FL-95 BWT QS
FW421    MT28C3214P2FL-95 TET
FX421    MT28C3214P2FL-95 TET ES
FQ421    MT28C3214P2FL-95 TET QS
FW422    MT28C3214P2FL-95 TWT
FX422    MT28C3214P2FL-95 TWT ES
FQ422    MT28C3214P2FL-95 TWT QS
FW439    MT28C3214P2NFL-11 TET
FX439    MT28C3214P2NFL-11 TET ES
FQ439    MT28C3214P2NFL-11 TET QS
FW425    MT28C3214P2NFL-11 TWT
FX425    MT28C3214P2NFL-11 TWT ES
FQ425    MT28C3214P2NFL-11 TWT QS
FQ426    MT28C3214P2NFL-11 TWT S QS
FW440    MT28C3224D18FL-954 BET
FX440    MT28C3224D18FL-954 BET ES
FQ440    MT28C3224D18FL-954 BET QS
FW441    MT28C3224D18FL-954 TET
FX441    MT28C3224D18FL-954 TET ES
FQ441    MT28C3224D18FL-954 TET QS
FW449    MT28C3224P18FL-85 BET
